dataset,p,pop_total,gens,cx,mut,k,mig_int,twoopt,trial,elapsed,best
data/cities.txt,1,800,300,0.8,0.05,4,50,1,1,0.0570,0.000000
data/cities.txt,1,800,300,0.8,0.05,4,50,1,2,0.0574,0.000000
data/cities.txt,1,800,300,0.8,0.05,4,50,1,3,0.0577,0.000000
data/cities.txt,2,800,300,0.8,0.05,4,50,1,1,0.0283,0.000000
data/cities.txt,2,800,300,0.8,0.05,4,50,1,2,0.0278,0.000000
data/cities.txt,2,800,300,0.8,0.05,4,50,1,3,0.0289,0.000000
data/cities.txt,4,800,300,0.8,0.05,4,50,1,1,0.0155,0.000000
data/cities.txt,4,800,300,0.8,0.05,4,50,1,2,0.0150,0.000000
data/cities.txt,4,800,300,0.8,0.05,4,50,1,3,0.0207,0.000000
data/cities.txt,8,800,300,0.8,0.05,4,50,1,1,0.0192,0.000000
data/cities.txt,8,800,300,0.8,0.05,4,50,1,2,0.0319,0.000000
data/cities.txt,8,800,300,0.8,0.05,4,50,1,3,0.0157,0.000000
